postcode, ra_category, ra_name
2365, 2, Outer Regional Australia
2369, 2, Outer Regional Australia
2370, 2, Outer Regional Australia
2371, 2, Outer Regional Australia
2372, 2, Outer Regional Australia
2379, 2, Outer Regional Australia
2380, 2, Outer Regional Australia
2381, 2, Outer Regional Australia
2382, 2, Outer Regional Australia
2386, 3, Remote Australia
2387, 3, Remote Australia
2388, 2, Outer Regional Australia
2390, 2, Outer Regional Australia
2395, 2, Outer Regional Australia
2396, 3, Remote Australia
2397, 2, Outer Regional Australia
2398, 2, Outer Regional Australia
2399, 2, Outer Regional Australia
2400, 2, Outer Regional Australia
2401, 2, Outer Regional Australia
2402, 2, Outer Regional Australia
2403, 2, Outer Regional Australia
2404, 2, Outer Regional Australia
2405, 3, Remote Australia
2406, 3, Remote Australia
2408, 2, Outer Regional Australia
2409, 2, Outer Regional Australia
2410, 2, Outer Regional Australia
2411, 2, Outer Regional Australia
2415, 1, Inner Regional Australia
2420, 1, Inner Regional Australia
2421, 1, Inner Regional Australia
2422, 1, Inner Regional Australia
2423, 1, Inner Regional Australia
2424, 1, Inner Regional Australia
2425, 1, Inner Regional Australia
2426, 1, Inner Regional Australia
2427, 1, Inner Regional Australia
2428, 1, Inner Regional Australia
2429, 1, Inner Regional Australia
2430, 1, Inner Regional Australia
2431, 2, Outer Regional Australia
2439, 1, Inner Regional Australia
2440, 1, Inner Regional Australia
2441, 2, Outer Regional Australia
2443, 1, Inner Regional Australia
2444, 1, Inner Regional Australia
2445, 1, Inner Regional Australia
2446, 1, Inner Regional Australia
2447, 2, Outer Regional Australia
2448, 2, Outer Regional Australia
2449, 2, Outer Regional Australia
2450, 1, Inner Regional Australia
2452, 1, Inner Regional Australia
2453, 2, Outer Regional Australia
2454, 2, Outer Regional Australia
2455, 2, Outer Regional Australia
2456, 1, Inner Regional Australia
2460, 1, Inner Regional Australia
2462, 2, Outer Regional Australia
2463, 1, Inner Regional Australia
2464, 1, Inner Regional Australia
2465, 1, Inner Regional Australia
2466, 1, Inner Regional Australia
2469, 2, Outer Regional Australia
2470, 1, Inner Regional Australia
2471, 1, Inner Regional Australia
2472, 1, Inner Regional Australia
2473, 1, Inner Regional Australia
2474, 1, Inner Regional Australia
2475, 2, Outer Regional Australia
2476, 2, Outer Regional Australia
2477, 1, Inner Regional Australia
2478, 1, Inner Regional Australia
2479, 1, Inner Regional Australia
2480, 1, Inner Regional Australia
2481, 1, Inner Regional Australia
2482, 1, Inner Regional Australia
2483, 1, Inner Regional Australia
2484, 1, Inner Regional Australia
2533, 1, Inner Regional Australia
2534, 1, Inner Regional Australia
2535, 1, Inner Regional Australia
2536, 1, Inner Regional Australia
2537, 1, Inner Regional Australia
2538, 1, Inner Regional Australia
2539, 1, Inner Regional Australia
2540, 1, Inner Regional Australia
2541, 1, Inner Regional Australia
2545, 2, Outer Regional Australia
2546, 2, Outer Regional Australia
2548, 2, Outer Regional Australia
2549, 2, Outer Regional Australia
2550, 2, Outer Regional Australia
2551, 2, Outer Regional Australia
2555, 1, Inner Regional Australia
2556, 1, Inner Regional Australia
2568, 1, Inner Regional Australia
2569, 1, Inner Regional Australia
2571, 1, Inner Regional Australia
2572, 1, Inner Regional Australia
2573, 1, Inner Regional Australia
2574, 1, Inner Regional Australia
2575, 1, Inner Regional Australia
2576, 1, Inner Regional Australia
2577, 1, Inner Regional Australia
2578, 1, Inner Regional Australia
2579, 1, Inner Regional Australia
2580, 1, Inner Regional Australia
2581, 1, Inner Regional Australia
2582, 1, Inner Regional Australia
2583, 1, Inner Regional Australia
2584, 1, Inner Regional Australia
2585, 1, Inner Regional Australia
2586, 1, Inner Regional Australia
2587, 1, Inner Regional Australia
2588, 1, Inner Regional Australia
2590, 1, Inner Regional Australia
2594, 1, Inner Regional Australia
2618, 1, Inner Regional Australia
2621, 1, Inner Regional Australia
2622, 1, Inner Regional Australia
2623, 1, Inner Regional Australia
2624, 2, Outer Regional Australia
2625, 2, Outer Regional Australia
2626, 1, Inner Regional Australia
2627, 2, Outer Regional Australia
2628, 2, Outer Regional Australia
2629, 2, Outer Regional Australia
2630, 1, Inner Regional Australia
2631, 2, Outer Regional Australia
2632, 2, Outer Regional Australia
2633, 2, Outer Regional Australia
2640, 1, Inner Regional Australia
2641, 1, Inner Regional Australia
2642, 1, Inner Regional Australia
2643, 1, Inner Regional Australia
2644, 1, Inner Regional Australia
2645, 2, Outer Regional Australia
2646, 1, Inner Regional Australia
2647, 1, Inner Regional Australia
2648, 2, Outer Regional Australia
2649, 2, Outer Regional Australia
2650, 1, Inner Regional Australia
2651, 1, Inner Regional Australia
2652, 1, Inner Regional Australia
2653, 2, Outer Regional Australia
2655, 1, Inner Regional Australia
2656, 2, Outer Regional Australia
2658, 1, Inner Regional Australia
2659, 1, Inner Regional Australia
2660, 1, Inner Regional Australia
2661, 1, Inner Regional Australia
2663, 1, Inner Regional Australia
2665, 2, Outer Regional Australia
2666, 2, Outer Regional Australia
2668, 2, Outer Regional Australia
2669, 2, Outer Regional Australia
2671, 2, Outer Regional Australia
2672, 3, Remote Australia
2675, 3, Remote Australia
2678, 1, Inner Regional Australia
2680, 2, Outer Regional Australia
2681, 2, Outer Regional Australia
2700, 2, Outer Regional Australia
2701, 1, Inner Regional Australia
2702, 2, Outer Regional Australia
2703, 2, Outer Regional Australia
2705, 2, Outer Regional Australia
2706, 2, Outer Regional Australia
2707, 2, Outer Regional Australia
2710, 1, Inner Regional Australia
2711, 2, Outer Regional Australia
2712, 2, Outer Regional Australia
2713, 1, Inner Regional Australia
2714, 1, Inner Regional Australia
2715, 2, Outer Regional Australia
2716, 2, Outer Regional Australia
2717, 2, Outer Regional Australia
2720, 1, Inner Regional Australia
2721, 2, Outer Regional Australia
2722, 1, Inner Regional Australia
2725, 2, Outer Regional Australia
2726, 2, Outer Regional Australia
2727, 2, Outer Regional Australia
2729, 1, Inner Regional Australia
2730, 2, Outer Regional Australia
2731, 1, Inner Regional Australia
2732, 2, Outer Regional Australia
2733, 2, Outer Regional Australia
2734, 2, Outer Regional Australia
2735, 2, Outer Regional Australia
2736, 2, Outer Regional Australia
2737, 2, Outer Regional Australia
2738, 2, Outer Regional Australia
2739, 2, Outer Regional Australia
2752, 1, Inner Regional Australia
2757, 1, Inner Regional Australia
2758, 1, Inner Regional Australia
2775, 1, Inner Regional Australia
2785, 1, Inner Regional Australia
2786, 1, Inner Regional Australia
2787, 1, Inner Regional Australia
2790, 1, Inner Regional Australia
2791, 1, Inner Regional Australia
2792, 2, Outer Regional Australia
2793, 2, Outer Regional Australia
2794, 1, Inner Regional Australia
2795, 1, Inner Regional Australia
2797, 2, Outer Regional Australia
2798, 1, Inner Regional Australia
2799, 1, Inner Regional Australia
2800, 1, Inner Regional Australia
2803, 2, Outer Regional Australia
2804, 1, Inner Regional Australia
2805, 2, Outer Regional Australia
2806, 2, Outer Regional Australia
2807, 2, Outer Regional Australia
2808, 2, Outer Regional Australia
2809, 2, Outer Regional Australia
2810, 2, Outer Regional Australia
2818, 2, Outer Regional Australia
2820, 2, Outer Regional Australia
2821, 2, Outer Regional Australia
2823, 2, Outer Regional Australia
2824, 2, Outer Regional Australia
2825, 3, Remote Australia
2826, 3, Remote Australia
2827, 2, Outer Regional Australia
2828, 2, Outer Regional Australia
2829, 3, Remote Australia
2830, 1, Inner Regional Australia
2831, 2, Outer Regional Australia
2832, 3, Remote Australia
2833, 3, Remote Australia
2834, 3, Remote Australia
2835, 3, Remote Australia
2836, 4, Very Remote Australia
2838, 4, Very Remote Australia
2839, 4, Very Remote Australia
2840, 4, Very Remote Australia
2842, 2, Outer Regional Australia
2843, 2, Outer Regional Australia
2844, 2, Outer Regional Australia
2845, 1, Inner Regional Australia
2846, 1, Inner Regional Australia
2847, 1, Inner Regional Australia
2848, 1, Inner Regional Australia
2849, 2, Outer Regional Australia
2850, 1, Inner Regional Australia
2852, 2, Outer Regional Australia
2864, 2, Outer Regional Australia
2865, 2, Outer Regional Australia
2866, 1, Inner Regional Australia
2867, 2, Outer Regional Australia
2868, 2, Outer Regional Australia
2869, 2, Outer Regional Australia
2870, 2, Outer Regional Australia
2871, 2, Outer Regional Australia
2873, 3, Remote Australia
2874, 2, Outer Regional Australia
2875, 2, Outer Regional Australia
2876, 2, Outer Regional Australia
2877, 2, Outer Regional Australia
2878, 4, Very Remote Australia
2879, 4, Very Remote Australia
2880, 2, Outer Regional Australia
2898, 4, Very Remote Australia
3139, 1, Inner Regional Australia
3211, 1, Inner Regional Australia
3217, 1, Inner Regional Australia
3221, 1, Inner Regional Australia
3222, 1, Inner Regional Australia
